Spedalsø Torv 1, 8700 Horsens;;
Dytmærsken 1A, 8900 Randers C;;
Nåbyvej 1, Nåby, 4160 Herlufmagle;;
Høfden 1, Venø, 7600 Struer;;
Bådvej 1, 5240 Odense NØ;;
Egå Engvej 1, 8250 Egå;;
Hangargaden 1, 2770 Kastrup;;
Gåsesti 2, 9990 Skagen;;
Ådiget 1, 2610 Rødovre;;
Dadevej 6, Sandby, 4171 Glumsø;;
Bæk 4, 4720 Præstø;;
Zebravej 1, 8960 Randers SØ;8960;Randers SØ
Fadet 2, 1799 København V;1799;København V
Tubæk Møllevej 5, 4720 Præstø;;
Bæk 4, 4720 Præstø;;
Nupark 21, Måbjerg, 7500 Holstebro;7500;Holstebro
Vesbjergvej 2, Ørderup, 6520 Toftlund;6520;Toftlund
Ulbækhusvej 4, 7120 Vejle Øst;7120;Vejle Øst
Stenbjerg Parken 1, Stenbjerg, 7752 Snedsted;7752;Snedsted
Zeltnersvej 1, 8600 Silkeborg;8600;Silkeborg
Uffesvej 1, 3000 Helsingør;3000;Helsingør
Skudehandlervej 2, Thorupstrand, 9690 Fjerritslev;9690;Fjerritslev
Myrkærvej 1A, 6392 Bolderslev;6392;Bolderslev
Ove Krarupsvej 1, 6990 Ulfborg;6990;Ulfborg
Slap-a-vej 2, 3600 Frederikssund;3600;Frederikssund
Våesvej 1A, Vilslev, 6771 Gredstedbro;6771;Gredstedbro
Eickstedtlund 2, Kindertofte, 4200 Slagelse;4200;Slagelse
Eickstedtlund 2, Kindertofte, 4200 Slagelse;4200;Slagelse
Dadevej 6, Sandby, 4171 Glumsø;4171;Glumsø
Maden 3, Hasle, 8210 Aarhus V;8210;Aarhus V
Nyvej 10, 7100 Vejle;7100;Vejle;https://dawa.aws.dk/adresser/0a3f50bc-dfed-32b8-e044-0003ba298018;0a3f50bc-dfed-32b8-e044-0003ba298018
Pi 1, Søften, 8382 Hinnerup;8382;Hinnerup;https://dawa.aws.dk/adgangsadresser/0a3f5093-e5e5-32b8-e044-0003ba298018;0a3f5093-e5e5-32b8-e044-0003ba298018
H-Vej 1, 2300 København S;2300;København S;https://dawa.aws.dk/adgangsadresser/77b3c033-ef54-4adc-9eac-3f44fecba65a;77b3c033-ef54-4adc-9eac-3f44fecba65a
Duettevej 1, 8400 Ebeltoft;8400;Ebeltoft;https://dawa.aws.dk/adgangsadresser/0a3f5093-2c8c-32b8-e044-0003ba298018;0a3f5093-2c8c-32b8-e044-0003ba298018
Vang 10, Vang, 3790 Hasle;3790;Hasle;https://dawa.aws.dk/adresser/0a3f50b2-3658-32b8-e044-0003ba298018;0a3f50b2-3658-32b8-e044-0003ba298018
Ågabet 1, Vesteregnen, 5935 Bagenkop;5935;Bagenkop;https://dawa.aws.dk/adgangsadresser/6198d904-293c-41f6-82d5-5167539a5e28;6198d904-293c-41f6-82d5-5167539a5e28
Jafdalvej 1, 6853 Vejers Strand;6853;Vejers Strand;https://dawa.aws.dk/adgangsadresser/0a3f508d-3252-32b8-e044-0003ba298018;0a3f508d-3252-32b8-e044-0003ba298018
Habitvej 2, 8920 Randers NV;8920;Randers NV;https://dawa.aws.dk/adgangsadresser/4f78d447-9d34-4751-8b2f-12b8e4830897;4f78d447-9d34-4751-8b2f-12b8e4830897
Nykobbelvej 1, Skovsø, 4200 Slagelse;4200;Slagelse;https://dawa.aws.dk/adgangsadresser/0a3f5084-5ceb-32b8-e044-0003ba298018;0a3f5084-5ceb-32b8-e044-0003ba298018
Ædjavejen 1, Pedersker, 3720 Aakirkeby;3720;Aakirkeby;https://dawa.aws.dk/adgangsadresser/0a3f5087-b6b5-32b8-e044-0003ba298018;0a3f5087-b6b5-32b8-e044-0003ba298018
Anyvej 2, 3500 Værløse;3500;Værløse;https://dawa.aws.dk/adgangsadresser/0a3f507e-2b86-32b8-e044-0003ba298018;0a3f507e-2b86-32b8-e044-0003ba298018
Odden 1, Snogebæk, 3730 Nexø;3730;Nexø;https://dawa.aws.dk/adgangsadresser/0a3f5087-8c78-32b8-e044-0003ba298018;0a3f5087-8c78-32b8-e044-0003ba298018
Ordrup Have 3, 2920 Charlottenlund;2920;Charlottenlund;https://dawa.aws.dk/adgangsadresser/0a3f507b-f712-32b8-e044-0003ba298018;0a3f507b-f712-32b8-e044-0003ba298018
U-Vej 1, 2300 København S;2300;København S;https://dawa.aws.dk/adgangsadresser/c800a783-de7e-4595-8d15-d02a8c6f8ce5;c800a783-de7e-4595-8d15-d02a8c6f8ce5
Bøghave 1, Nr Ørslev, 4800 Nykøbing F;4800;Nykøbing F;https://dawa.aws.dk/adgangsadresser/ad2cb1ab-6b06-4962-9a59-696dafad754a;ad2cb1ab-6b06-4962-9a59-696dafad754a
